"id","sp","rep","site","ind","twig","treatcode","warm","photo","chill","position","gen","row","col"
"VIBCAS08_HF_10","VIBCAS","08","HF","VIBCAS08_HF","10","WL2","warm","long","chill2",1,"VIB",1,1
"ACEPEN11_HF_07","ACEPEN","11","HF","ACEPEN11_HF","07","WL2","warm","long","chill2",1,"ACE",1,1
"ACERUB11_HF_04","ACERUB","11","HF","ACERUB11_HF","04","WL2","warm","long","chill2",2,"ACE",2,1
"ILEMUC07_SH_05","ILEMUC","07","SH","ILEMUC07_SH","05","WL2","warm","long","chill2",2,"ILE",2,1
"VIBLAN09_SH_06","VIBLAN","09","SH","VIBLAN09_SH","06","WL2","warm","long","chill2",3,"VIB",3,1
"BETALL10_HF_09","BETALL","10","HF","BETALL10_HF","09","WL2","warm","long","chill2",3,"BET",3,1
"ILEMUC08_HF_02","ILEMUC","08","HF","ILEMUC08_HF","02","WL2","warm","long","chill2",4,"ILE",4,1
"VIBCAS02_HF_06","VIBCAS","02","HF","VIBCAS02_HF","06","WL2","warm","long","chill2",4,"VIB",4,1
"ACERUB08_SH_04","ACERUB","08","SH","ACERUB08_SH","04","WL2","warm","long","chill2",5,"ACE",5,1
"BETPAP07_SH_07","BETPAP","07","SH","BETPAP07_SH","07","WL2","warm","long","chill2",5,"BET",5,1
"VIBCAS05_SH_11","VIBCAS","05","SH","VIBCAS05_SH","11","WL2","warm","long","chill2",6,"VIB",6,1
"ACEPEN07_SH_02","ACEPEN","07","SH","ACEPEN07_SH","02","WL2","warm","long","chill2",6,"ACE",6,1
"BETALL02_SH_09","BETALL","02","SH","BETALL02_SH","09","WL2","warm","long","chill2",7,"BET",7,1
"ACERUB09_SH_08","ACERUB","09","SH","ACERUB09_SH","08","WL2","warm","long","chill2",7,"ACE",7,1
"VIBLAN07_SH_08","VIBLAN","07","SH","VIBLAN07_SH","08","WL2","warm","long","chill2",8,"VIB",8,1
"ACEPEN08_SH_02","ACEPEN","08","SH","ACEPEN08_SH","02","WL2","warm","long","chill2",8,"ACE",8,1
"VIBLAN03_HF_07","VIBLAN","03","HF","VIBLAN03_HF","07","WL2","warm","long","chill2",9,"VIB",1,2
"FAGGRA11_HF_08","FAGGRA","11","HF","FAGGRA11_HF","08","WL2","warm","long","chill2",9,"FAG",1,2
"BETALL19_HF_06","BETALL","19","HF","BETALL19_HF","06","WL2","warm","long","chill2",10,"BET",2,2
"ACERUB05_SH_06","ACERUB","05","SH","ACERUB05_SH","06","WL2","warm","long","chill2",10,"ACE",2,2
"BETPAP06_HF_04","BETPAP","06","HF","BETPAP06_HF","04","WL2","warm","long","chill2",11,"BET",3,2
"FAGGRA10_HF_03","FAGGRA","10","HF","FAGGRA10_HF","03","WL2","warm","long","chill2",11,"FAG",3,2
