"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X1.1","X2.1","X3.1","X4.1","X5.1","X6.1","X7.1","X8.1","X9.1","X1.2","X2.2","X3.2","X4.2","X5.2","X6.2","X7.2","X8.2","X9.2","X1.3","X2.3","X3.3","X4.3","X5.3","X6.3","X7.3","X8.3","X9.3"
"1","VIBCAS08_HF_10
ACEPEN11_HF_07","VIBLAN03_HF_07
FAGGRA11_HF_08","ILEMUC05_HF_07
BETPAP13_HF_07","ILEMUC03_HF_07
ACESAC06_HF_04","QUERUB20_HF_05
VIBLAN04_SH_02","ACESAC03_SH_11
BETALL10_SH_06","ACESAC09_SH_11
BETPAP08_SH_08","VIBCAS08_SH_05
BETPAP07_HF_12","ILEMUC06_HF_09
ACESAC99_SH_07","ACEPEN11_HF_05
POPGRA04_SH_01","QUERUB08_SH_08
ACESAC03_SH_12","VIBLAN09_HF_12
ILEMUC01_SH_05","BETALL01_SH_05
VIBLAN12_HF_03","VIBLAN06_SH_01
ACERUB05_SH_10","POPGRA05_SH_09
BETPAP10_SH_12","BETPAP15_HF_08
VIBCAS10_HF_10","VIBCAS04_HF_01
ACEPEN11_SH_02","ILEMUC04_HF_08
BETPAP07_SH_04","ACERUB06_SH_11
BETPAP10_SH_10","ACERUB10_HF_06
BETALL10_HF_12","BETALL19_HF_02
ACEPEN08_SH_01","VIBCAS08_SH_09
ACESAC02_SH_12","BETALL16_HF_02
VIBCAS10_HF_04","ACESAC99_SH_11
ILEMUC06_SH_02","BETALL08_SH_12
ACESAC02_HF_09","ACEPEN01_HF_10
ILEMUC01_SH_04","VIBLAN12_HF_10
ILEMUC08_HF_10","BETPAP06_HF_09
FAGGRA04_SH_11","VIBLAN12_HF_07
ILEMUC03_HF_04","QUERUB05_SH_02
BETALL17_HF_04","POPGRA06_HF_07
VIBLAN09_HF_10","ACEPEN02_HF_03
BETALL08_SH_07","ACESAC02_SH_08
FAGGRA09_HF_01","QUERUB21_HF_04
ACEPEN11_SH_09","FAGGRA11_HF_06
BETALL02_SH_04","QUERUB17_HF_05
ACEPEN11_HF_11"
"2","ACERUB11_HF_04
ILEMUC07_SH_05","BETALL19_HF_06
ACERUB05_SH_06","QUERUB16_HF_03
VIBLAN02_SH_05","VIBCAS10_HF_06
QUERUB23_HF_05","QUERUB08_SH_10
ILEMUC03_SH_04","ACEPEN06_SH_12
ILEMUC07_HF_05","FAGGRA04_SH_04
VIBLAN06_SH_09","BETALL01_SH_04
ACEPEN02_HF_10",NA,"VIBCAS08_SH_12
POPGRA02_SH_04","BETPAP04_SH_02
FAGGRA10_HF_04","ACEPEN04_SH_11
BETALL03_SH_08","BETPAP13_HF_09
ACERUB09_SH_10","ACERUB10_SH_05
VIBLAN04_SH_12","ACESAC09_SH_12
VIBCAS05_SH_01","ILEMUC07_SH_01
FAGGRA13_HF_07","FAGGRA07_SH_09
ILEMUC03_HF_10",NA,"QUERUB23_HF_08
POPGRA06_SH_11","FAGGRA05_SH_04
VIBCAS04_SH_05","ACERUB09_SH_03
FAGGRA10_HF_07","ACERUB11_HF_09
FAGGRA06_SH_03","BETPAP09_SH_12
FAGGRA02_SH_11","BETPAP15_HF_05
ACERUB99_HF_05","POPGRA08_SH_05
BETPAP04_SH_08","ACEPEN11_HF_03
VIBLAN03_HF_08",NA,"ACERUB05_SH_01
QUERUB08_SH_04","VIBCAS07_SH_12
BETPAP07_HF_03","BETPAP07_SH_09
FAGGRA06_SH_05","ILEMUC06_HF_04
VIBCAS04_SH_03","ACESAC02_HF_03
VIBCAS08_SH_08","BETPAP10_SH_07
VIBCAS01_SH_06","QUERUB06_SH_06
ILEMUC04_SH_04","ACESAC05_HF_03
BETPAP09_SH_06",NA
"3","VIBLAN09_SH_06
BETALL10_HF_09","BETPAP06_HF_04
FAGGRA10_HF_03","ACERUB07_SH_04
VIBCAS01_SH_10","ACESAC02_HF_08
BETALL08_SH_05","QUERUB07_SH_08
ACERUB06_SH_04","ACEPEN12_HF_01
ILEMUC01_SH_11","ACEPEN09_SH_03
POPGRA05_HF_05","VIBCAS04_HF_04
BETPAP09_HF_04",NA,"ACERUB99_HF_07
FAGGRA11_HF_04","FAGGRA08_SH_01
ILEMUC08_HF_04","VIBLAN05_SH_10
ACESAC02_HF_01","ACESAC10_SH_09
BETALL08_SH_10","ACEPEN08_SH_11
BETALL17_HF_08","VIBLAN09_SH_04
ILEMUC05_HF_10","BETALL10_HF_02
ACESAC99_HF_09","VIBCAS07_SH_08
ACERUB08_SH_05",NA,"ACERUB05_SH_04
BETALL18_HF_04","BETPAP14_HF_03
QUERUB05_SH_10","ACERUB14_HF_09
ILEMUC03_SH_07","ACESAC03_SH_10
VIBLAN02_SH_11","ACEPEN04_SH_06
POPGRA03_HF_10","ACESAC10_HF_08
VIBLAN11_HF_10","ACESAC07_SH_03
FAGGRA04_SH_07","QUERUB10_SH_01
ILEMUC07_HF_12",NA,"VIBLAN03_HF_11
POPGRA07_HF_02","ACERUB99_HF_02
BETPAP09_HF_08","BETALL16_HF_04
ACEPEN01_HF_11","VIBCAS07_HF_09
ACESAC06_HF_01","POPGRA06_SH_02
ILEMUC04_HF_11","ACESAC07_SH_10
VIBCAS02_HF_11","BETPAP04_SH_06
VIBCAS10_HF_12","BETPAP13_HF_06
QUERUB10_SH_04",NA
"4","ILEMUC08_HF_02
VIBCAS02_HF_06","VIBCAS07_SH_01
QUERUB04_SH_05","FAGGRA13_HF_02
ILEMUC05_SH_01","ACEPEN04_HF_12
BETPAP14_HF_12","QUERUB21_HF_01
BETPAP04_SH_10","POPGRA02_HF_12
BETALL17_HF_05","VIBLAN04_HF_01
ACEPEN01_HF_04","VIBCAS04_SH_11
POPGRA08_SH_07",NA,"BETALL20_HF_11
ACEPEN04_HF_11","ACERUB10_HF_04
BETALL09_SH_12","ACEPEN12_HF_09
VIBCAS07_HF_04","QUERUB17_HF_11
BETPAP14_HF_01","QUERUB23_HF_06
ILEMUC05_SH_05","ACEPEN03_HF_06
POPGRA03_HF_04","BETPAP09_SH_03
ACESAC07_SH_07","ACEPEN07_SH_08
BETPAP07_HF_05",NA,"BETPAP06_SH_12
VIBCAS04_HF_08","FAGGRA14_HF_06
BETPAP09_HF_03","BETALL17_HF_02
VIBCAS06_SH_02","BETALL02_SH_08
ACEPEN03_HF_04","ACEPEN04_HF_09
QUERUB16_HF_05","VIBLAN09_HF_09
POPGRA05_HF_07","QUERUB08_SH_11
BETPAP08_SH_12","ACEPEN11_SH_11
FAGGRA09_HF_12",NA,"ACEPEN04_SH_12
VIBLAN10_HF_03","ILEMUC05_SH_09
ACEPEN04_HF_08","FAGGRA03_HF_06
ACESAC03_SH_02","QUERUB04_SH_04
VIBLAN04_SH_09","BETALL18_HF_03
ACEPEN12_HF_12","BETALL20_HF_03
ACESAC10_SH_08","BETALL03_SH_01
ILEMUC03_SH_03","VIBCAS08_HF_06
ACEPEN06_SH_11",NA
"5","ACERUB08_SH_04
BETPAP07_SH_07","POPGRA07_HF_07
ACEPEN03_HF_01","FAGGRA06_SH_02
POPGRA01_SH_02","ACERUB14_HF_11
QUERUB06_SH_04","ACERUB10_SH_08
BETPAP09_SH_04","ACESAC02_SH_04
BETPAP15_HF_04","ACESAC07_SH_12
ILEMUC04_SH_12","VIBCAS07_HF_01
QUERUB10_SH_12",NA,"QUERUB15_HF_08
VIBLAN10_HF_07","ACEPEN09_SH_10
VIBCAS04_SH_01","ACERUB07_SH_08
ILEMUC06_HF_07","POPGRA02_HF_10
VIBLAN03_HF_01","QUERUB10_SH_11
POPGRA01_SH_05","ACERUB11_HF_08
POPGRA06_SH_03","ACESAC10_HF_04
POPGRA08_SH_11","BETPAP08_SH_06
POPGRA06_HF_10",NA,"POPGRA06_HF_02
FAGGRA11_HF_02","POPGRA07_HF_12
VIBLAN09_SH_12","ACESAC05_HF_09
VIBCAS02_HF_01","BETPAP07_SH_08
VIBLAN10_HF_01","ACERUB10_SH_07
POPGRA04_SH_08","ACEPEN07_SH_11
VIBLAN05_SH_12","ACERUB13_HF_08
VIBCAS08_HF_03","ACESAC06_HF_10
POPGRA02_HF_01",NA,"BETPAP08_SH_03
ACERUB07_SH_10","BETPAP06_SH_01
ACERUB09_SH_04","QUERUB23_HF_03
VIBLAN06_SH_12","VIBLAN04_HF_11
ACESAC07_HF_07","POPGRA01_SH_09
VIBLAN02_SH_04","ACEPEN09_SH_05
ILEMUC05_HF_01","VIBLAN09_SH_08
ILEMUC08_HF_01","FAGGRA08_SH_11
ACERUB06_SH_03",NA
"6","VIBCAS05_SH_11
ACEPEN07_SH_02","FAGGRA07_SH_02
POPGRA02_SH_05","ACESAC10_SH_05
ILEMUC04_HF_10","FAGGRA08_SH_03
BETALL09_SH_10","VIBLAN05_SH_03
ILEMUC06_SH_07","QUERUB15_HF_09
VIBLAN10_HF_02","ACEPEN04_SH_07
BETALL16_HF_09","VIBCAS03_HF_07
ACESAC10_HF_11",NA,"QUERUB16_HF_09
VIBCAS03_HF_01","QUERUB06_SH_02
VIBLAN02_SH_02","BETALL02_SH_01
ACERUB06_SH_08","FAGGRA02_SH_01
VIBCAS08_HF_05","ACERUB14_HF_04
QUERUB05_SH_05","ACESAC02_SH_02
QUERUB07_SH_04","ACEPEN01_HF_09
VIBCAS02_HF_03","BETPAP06_SH_07
ACESAC07_HF_05",NA,"FAGGRA07_SH_01
ACEPEN12_HF_11","VIBLAN07_SH_03
ILEMUC04_HF_12","BETALL20_HF_10
QUERUB07_SH_12","ACESAC07_HF_04
POPGRA05_SH_08","FAGGRA03_HF_08
VIBCAS07_SH_10","VIBCAS03_HF_08
ILEMUC07_SH_07","FAGGRA08_SH_08
QUERUB15_HF_04","BETALL10_SH_11
VIBLAN04_HF_08",NA,"ACESAC09_SH_03
VIBLAN11_HF_04","POPGRA08_SH_03
ILEMUC07_HF_09","ACERUB11_HF_12
ILEMUC01_SH_01","BETALL01_SH_07
VIBLAN07_SH_02","BETPAP14_HF_08
QUERUB20_HF_01","ACESAC99_HF_10
VIBLAN05_SH_04","FAGGRA07_SH_03
QUERUB07_SH_01","ACERUB14_HF_12
FAGGRA13_HF_12",NA
"7","BETALL02_SH_09
ACERUB09_SH_08","POPGRA05_SH_04
ACESAC99_HF_07","FAGGRA02_SH_03
VIBLAN12_HF_05","BETALL20_HF_07
QUERUB05_SH_09","FAGGRA05_SH_08
ACESAC07_HF_11","POPGRA06_SH_06
VIBLAN11_HF_05","BETALL18_HF_09
POPGRA03_HF_08","VIBLAN09_HF_04
FAGGRA09_HF_05",NA,"VIBCAS06_SH_08
ACEPEN02_HF_07","ACESAC06_HF_02
FAGGRA03_HF_02","FAGGRA06_SH_07
ACEPEN06_SH_10","ACESAC05_HF_08
FAGGRA14_HF_08","POPGRA07_HF_06
VIBLAN04_HF_04","FAGGRA09_HF_10
QUERUB21_HF_03","BETALL16_HF_01
ILEMUC07_HF_04","FAGGRA05_SH_09
BETPAP06_HF_06",NA,"BETALL03_SH_11
ILEMUC04_SH_11","BETALL09_SH_08
ACERUB08_SH_06","BETPAP06_HF_03
POPGRA02_SH_03","ACESAC99_HF_04
QUERUB17_HF_06","POPGRA01_SH_11
QUERUB04_SH_02","QUERUB21_HF_12
ACEPEN02_HF_05","FAGGRA13_HF_09
ACESAC10_SH_06","BETALL01_SH_03
ACEPEN09_SH_07",NA,"FAGGRA10_HF_02
ACEPEN03_HF_07","ACERUB10_HF_12
QUERUB16_HF_01","ACESAC99_SH_09
FAGGRA14_HF_12","VIBCAS04_HF_07
ILEMUC06_SH_01","POPGRA05_SH_06
ACERUB10_SH_09","POPGRA02_SH_09
BETALL10_HF_11","ACESAC10_HF_10
POPGRA03_HF_05","FAGGRA02_SH_05
POPGRA05_HF_12",NA
"8","VIBLAN07_SH_08
ACEPEN08_SH_02","BETPAP06_SH_06
FAGGRA14_HF_10","POPGRA04_SH_12
ACERUB13_HF_10","ACESAC05_HF_04
BETALL03_SH_05","QUERUB17_HF_10
BETPAP10_SH_08","FAGGRA03_HF_11
ACERUB10_HF_07","VIBCAS06_SH_09
ACEPEN11_SH_05","ACERUB99_HF_01
POPGRA06_HF_03",NA,"FAGGRA04_SH_06
ILEMUC06_SH_11","VIBLAN11_HF_06
BETPAP09_HF_12","BETALL19_HF_10
ILEMUC03_SH_08","ILEMUC04_SH_07
QUERUB04_SH_08","VIBLAN07_SH_10
ACERUB13_HF_01","BETALL18_HF_01
ACESAC99_SH_02","QUERUB20_HF_11
POPGRA05_HF_08","VIBCAS01_SH_02
BETALL10_SH_01",NA,"ACESAC09_SH_09
VIBLAN06_SH_02","ACERUB07_SH_03
BETPAP13_HF_08","ILEMUC05_SH_03
VIBCAS01_SH_04","ILEMUC06_HF_06
VIBCAS07_HF_11","ILEMUC05_HF_11
VIBLAN04_SH_04","QUERUB20_HF_08
VIBCAS05_SH_03","QUERUB06_SH_07
BETPAP07_HF_06","ACEPEN06_SH_05
ILEMUC03_HF_06",NA,"ACEPEN08_SH_08
VIBCAS05_SH_02","QUERUB15_HF_01
BETALL19_HF_01","BETPAP15_HF_06
POPGRA04_SH_05","BETALL09_SH_04
ACEPEN07_SH_07","VIBCAS03_HF_09
BETALL10_SH_02","ACERUB13_HF_09
VIBCAS06_SH_07","FAGGRA05_SH_05
POPGRA02_HF_09","ACERUB08_SH_02
ILEMUC07_SH_02",NA
