"id","sp","rep","site","ind","twig","treatcode","warm","photo","chill","position","gen","row","col"
"QUERUB15_HF_11","QUERUB","15","HF","QUERUB15_HF","11","CS1","cool","short","chill1",23,"QUE",7,3
"POPGRA05_HF_10","POPGRA","05","HF","POPGRA05_HF","10","CS1","cool","short","chill1",24,"POP",8,3
"VIBLAN09_SH_02","VIBLAN","09","SH","VIBLAN09_SH","02","CS1","cool","short","chill1",24,"VIB",8,3
"VIBCAS01_SH_07","VIBCAS","01","SH","VIBCAS01_SH","07","CS1","cool","short","chill1",25,"VIB",1,4
"ACESAC09_SH_06","ACESAC","09","SH","ACESAC09_SH","06","CS1","cool","short","chill1",25,"ACE",1,4
"QUERUB10_SH_05","QUERUB","10","SH","QUERUB10_SH","05","CS1","cool","short","chill1",26,"QUE",2,4
"ILEMUC04_HF_06","ILEMUC","04","HF","ILEMUC04_HF","06","CS1","cool","short","chill1",26,"ILE",2,4
"ILEMUC04_SH_03","ILEMUC","04","SH","ILEMUC04_SH","03","CS1","cool","short","chill1",27,"ILE",3,4
"ACEPEN04_HF_03","ACEPEN","04","HF","ACEPEN04_HF","03","CS1","cool","short","chill1",27,"ACE",3,4
"BETALL03_SH_09","BETALL","03","SH","BETALL03_SH","09","CS1","cool","short","chill1",28,"BET",4,4
"VIBLAN02_SH_08","VIBLAN","02","SH","VIBLAN02_SH","08","CS1","cool","short","chill1",28,"VIB",4,4
"VIBLAN06_SH_07","VIBLAN","06","SH","VIBLAN06_SH","07","CS1","cool","short","chill1",29,"VIB",5,4
"ACESAC03_SH_08","ACESAC","03","SH","ACESAC03_SH","08","CS1","cool","short","chill1",29,"ACE",5,4
"VIBCAS02_HF_10","VIBCAS","02","HF","VIBCAS02_HF","10","CS1","cool","short","chill1",30,"VIB",6,4
"ACEPEN12_HF_02","ACEPEN","12","HF","ACEPEN12_HF","02","CS1","cool","short","chill1",30,"ACE",6,4
"ACEPEN02_HF_02","ACEPEN","02","HF","ACEPEN02_HF","02","CS1","cool","short","chill1",31,"ACE",7,4
"VIBCAS03_HF_10","VIBCAS","03","HF","VIBCAS03_HF","10","CS1","cool","short","chill1",31,"VIB",7,4
"ACERUB13_HF_04","ACERUB","13","HF","ACERUB13_HF","04","CS1","cool","short","chill1",32,"ACE",8,4
"QUERUB08_SH_01","QUERUB","08","SH","QUERUB08_SH","01","CS1","cool","short","chill1",32,"QUE",8,4
"ACESAC06_HF_12","ACESAC","06","HF","ACESAC06_HF","12","CS1","cool","short","chill1",33,"ACE",1,5
"VIBCAS04_HF_12","VIBCAS","04","HF","VIBCAS04_HF","12","CS1","cool","short","chill1",33,"VIB",1,5
"BETPAP07_HF_01","BETPAP","07","HF","BETPAP07_HF","01","CS1","cool","short","chill1",34,"BET",2,5
"VIBCAS08_SH_02","VIBCAS","08","SH","VIBCAS08_SH","02","CS1","cool","short","chill1",34,"VIB",2,5
"BETALL16_HF_08","BETALL","16","HF","BETALL16_HF","08","CS1","cool","short","chill1",35,"BET",3,5
"ACEPEN09_SH_08","ACEPEN","09","SH","ACEPEN09_SH","08","CS1","cool","short","chill1",35,"ACE",3,5
"VIBCAS07_HF_02","VIBCAS","07","HF","VIBCAS07_HF","02","CS1","cool","short","chill1",36,"VIB",4,5
"BETPAP08_SH_10","BETPAP","08","SH","BETPAP08_SH","10","CS1","cool","short","chill1",36,"BET",4,5
"ILEMUC07_HF_01","ILEMUC","07","HF","ILEMUC07_HF","01","CS1","cool","short","chill1",37,"ILE",5,5
"ACEPEN04_SH_01","ACEPEN","04","SH","ACEPEN04_SH","01","CS1","cool","short","chill1",37,"ACE",5,5
"POPGRA08_SH_02","POPGRA","08","SH","POPGRA08_SH","02","CS1","cool","short","chill1",38,"POP",6,5
"QUERUB20_HF_09","QUERUB","20","HF","QUERUB20_HF","09","CS1","cool","short","chill1",38,"QUE",6,5
"ACERUB08_SH_10","ACERUB","08","SH","ACERUB08_SH","10","CS1","cool","short","chill1",39,"ACE",7,5
"FAGGRA02_SH_08","FAGGRA","02","SH","FAGGRA02_SH","08","CS1","cool","short","chill1",39,"FAG",7,5
"VIBCAS08_HF_12","VIBCAS","08","HF","VIBCAS08_HF","12","CS1","cool","short","chill1",40,"VIB",8,5
"ACESAC02_HF_12","ACESAC","02","HF","ACESAC02_HF","12","CS1","cool","short","chill1",40,"ACE",8,5
"ACERUB07_SH_07","ACERUB","07","SH","ACERUB07_SH","07","CS1","cool","short","chill1",41,"ACE",1,6
"ILEMUC05_SH_07","ILEMUC","05","SH","ILEMUC05_SH","07","CS1","cool","short","chill1",41,"ILE",1,6
"ILEMUC01_SH_03","ILEMUC","01","SH","ILEMUC01_SH","03","CS1","cool","short","chill1",42,"ILE",2,6
"ACESAC02_SH_03","ACESAC","02","SH","ACESAC02_SH","03","CS1","cool","short","chill1",42,"ACE",2,6
"BETALL10_SH_04","BETALL","10","SH","BETALL10_SH","04","CS1","cool","short","chill1",43,"BET",3,6
"ACEPEN06_SH_03","ACEPEN","06","SH","ACEPEN06_SH","03","CS1","cool","short","chill1",43,"ACE",3,6
"ACEPEN11_SH_08","ACEPEN","11","SH","ACEPEN11_SH","08","CS1","cool","short","chill1",44,"ACE",4,6
"VIBLAN09_HF_06","VIBLAN","09","HF","VIBLAN09_HF","06","CS1","cool","short","chill1",44,"VIB",4,6
"FAGGRA07_SH_06","FAGGRA","07","SH","FAGGRA07_SH","06","CS1","cool","short","chill1",45,"FAG",5,6
"ACERUB99_HF_04","ACERUB","99","HF","ACERUB99_HF","04","CS1","cool","short","chill1",45,"ACE",5,6
"ACERUB09_SH_12","ACERUB","09","SH","ACERUB09_SH","12","CS1","cool","short","chill1",46,"ACE",6,6
"BETALL02_SH_02","BETALL","02","SH","BETALL02_SH","02","CS1","cool","short","chill1",46,"BET",6,6
"BETPAP09_SH_09","BETPAP","09","SH","BETPAP09_SH","09","CS1","cool","short","chill1",47,"BET",7,6
"FAGGRA09_HF_03","FAGGRA","09","HF","FAGGRA09_HF","03","CS1","cool","short","chill1",47,"FAG",7,6
"BETALL18_HF_05","BETALL","18","HF","BETALL18_HF","05","CS1","cool","short","chill1",48,"BET",8,6
"ILEMUC06_HF_03","ILEMUC","06","HF","ILEMUC06_HF","03","CS1","cool","short","chill1",48,"ILE",8,6
"BETALL09_SH_03","BETALL","09","SH","BETALL09_SH","03","CS1","cool","short","chill1",49,"BET",1,7
"FAGGRA04_SH_01","FAGGRA","04","SH","FAGGRA04_SH","01","CS1","cool","short","chill1",49,"FAG",1,7
"BETPAP14_HF_04","BETPAP","14","HF","BETPAP14_HF","04","CS1","cool","short","chill1",50,"BET",2,7
"POPGRA02_SH_11","POPGRA","02","SH","POPGRA02_SH","11","CS1","cool","short","chill1",50,"POP",2,7
"FAGGRA11_HF_01","FAGGRA","11","HF","FAGGRA11_HF","01","CS1","cool","short","chill1",51,"FAG",3,7
"QUERUB04_SH_10","QUERUB","04","SH","QUERUB04_SH","10","CS1","cool","short","chill1",51,"QUE",3,7
"BETALL17_HF_06","BETALL","17","HF","BETALL17_HF","06","CS1","cool","short","chill1",52,"BET",4,7
"ACERUB05_SH_12","ACERUB","05","SH","ACERUB05_SH","12","CS1","cool","short","chill1",52,"ACE",4,7
"ACESAC99_SH_01","ACESAC","99","SH","ACESAC99_SH","01","CS1","cool","short","chill1",53,"ACE",5,7
"VIBCAS10_HF_09","VIBCAS","10","HF","VIBCAS10_HF","09","CS1","cool","short","chill1",53,"VIB",5,7
"BETPAP07_SH_01","BETPAP","07","SH","BETPAP07_SH","01","CS1","cool","short","chill1",54,"BET",6,7
"QUERUB21_HF_11","QUERUB","21","HF","QUERUB21_HF","11","CS1","cool","short","chill1",54,"QUE",6,7
