"id","sp","rep","site","ind","twig","treatcode","warm","photo","chill","position","gen","row","col"
"FRANIG08_HF_03","FRANIG","08","HF","FRANIG08_HF","03","CS0","cool","short","chill0",1,"FRA",1,1
"ILEMUC04_HF_05","ILEMUC","04","HF","ILEMUC04_HF","05","CS0","cool","short","chill0",1,"ILE",1,1
"SPIALB03_HF_02","SPIALB","03","HF","SPIALB03_HF","02","CS0","cool","short","chill0",2,"SPI",2,1
"VIBLAN07_SH_12","VIBLAN","07","SH","VIBLAN07_SH","12","CS0","cool","short","chill0",2,"VIB",2,1
"VIBCAS04_HF_09","VIBCAS","04","HF","VIBCAS04_HF","09","CS0","cool","short","chill0",3,"VIB",3,1
"BETPAP04_SH_12","BETPAP","04","SH","BETPAP04_SH","12","CS0","cool","short","chill0",3,"BET",3,1
"ACERUB11_HF_03","ACERUB","11","HF","ACERUB11_HF","03","CS0","cool","short","chill0",4,"ACE",4,1
"PRUPEN13_HF_01","PRUPEN","13","HF","PRUPEN13_HF","01","CS0","cool","short","chill0",4,"PRU",4,1
"POPGRA04_SH_07","POPGRA","04","SH","POPGRA04_SH","07","CS0","cool","short","chill0",5,"POP",5,1
"VACMYR08_SH_03","VACMYR","08","SH","VACMYR08_SH","03","CS0","cool","short","chill0",5,"VAC",5,1
"ACESAC10_HF_03","ACESAC","10","HF","ACESAC10_HF","03","CS0","cool","short","chill0",6,"ACE",6,1
"POPGRA05_HF_03","POPGRA","05","HF","POPGRA05_HF","03","CS0","cool","short","chill0",6,"POP",6,1
"ILEMUC07_SH_06","ILEMUC","07","SH","ILEMUC07_SH","06","CS0","cool","short","chill0",7,"ILE",7,1
"ACEPEN07_SH_12","ACEPEN","07","SH","ACEPEN07_SH","12","CS0","cool","short","chill0",7,"ACE",7,1
"NYSSYL08_HF_02","NYSSYL","08","HF","NYSSYL08_HF","02","CS0","cool","short","chill0",8,"NYS",8,1
"FAGGRA03_HF_12","FAGGRA","03","HF","FAGGRA03_HF","12","CS0","cool","short","chill0",8,"FAG",8,1
"QUERUB08_SH_12","QUERUB","08","SH","QUERUB08_SH","12","CS0","cool","short","chill0",9,"QUE",1,2
"RHAFRA18_HF_03","RHAFRA","18","HF","RHAFRA18_HF","03","CS0","cool","short","chill0",9,"RHA",1,2
"ILEMUC01_SH_12","ILEMUC","01","SH","ILEMUC01_SH","12","CS0","cool","short","chill0",10,"ILE",2,2
